_id,user_id,crawl_time,created_at,like_num,repost_num,comment_num,content,origin_weibo,geo_info,hashtags,fans_num,community,community_
IqZVYEN9b,cd73c5f442fe6578,1590368427,2020-01-24 19:48,0,0,0,【武汉版小汤山医院定名火神山医院】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——#武汉蔡甸火神山医院#，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。 疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！@人民日报转发理由:转发微博,IqZUKnv5x,,['#武汉蔡甸火神山医院#'],128,{'Community 8': 1},1
IqZVVnmGK,c98411de5f5a7e03,1590630875,2020-01-24 19:48,0,0,0,【武汉版小汤山医院定名火神山医院】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——#武汉蔡甸火神山医院#，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。 疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！@人民日报转发理由:转发微博,IqZUKnv5x,,['#武汉蔡甸火神山医院#'],283,{'Community 8': 1},1
IqZWkdwo4,c8a6809c3f4acf6a,1590213623,2020-01-24 19:49,0,0,0,【武汉版小汤山医院定名火神山医院】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——#武汉蔡甸火神山医院#，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。 疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！@人民日报转发理由:转发微博,IqZUKnv5x,,['#武汉蔡甸火神山医院#'],76,{'Community 8': 1},1
IqZZLgKfM,050de13ed3f505d0,1590181153,2020-01-24 19:57,0,0,0,【武汉版小汤山医院定名火神山医院】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——#武汉蔡甸火神山医院#，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。 疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！@人民日报转发理由:转发微博,IqZUKnv5x,,['#武汉蔡甸火神山医院#'],65,{'Community 8': 1},1
Ir00g3bw6,5dc4ea353fa5a65b,1587623839,2020-01-24 19:59,0,0,0,【武汉版小汤山医院定名火神山医院】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——#武汉蔡甸火神山医院#，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。 疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！@人民日报转发理由:转发微博,IqZUKnv5x,,['#武汉蔡甸火神山医院#'],69,{'Community 8': 1},1
Ir1DYoyHf,7d0e2429ee793344,1588037108,2020-01-25 00:09,2,0,0,#武汉蔡甸火神山医院#   取意横扫一切牛鬼蛇神！,,,['#武汉蔡甸火神山医院#'],826,{'Community 8': 1},1
Ir30E7LPK,9da11a92dabdb30c,1590718885,2020-01-25 03:38,0,0,0,【武汉版小汤山医院定名火神山医院】“武汉将在2月3日前建设一座‘小汤山’，阻击肺炎疫情蔓延！”1月23日下午，武汉市城建局紧急召集中建三局等单位举行专题会议，要求参照2003年抗击非典期间北京小汤山医院模式，在武汉职工疗养院建设一座专门医院——#武汉蔡甸火神山医院#，集中收治新型冠状病毒肺炎患者。医院建筑面积2.5万平方米，可容纳1000张床位，由中建三局牵头，武汉建工、武汉市政、汉阳市政等3家企业参与。 疫情就是命令，现场就是战场，提前一分钟交工，就能提前一分钟遏制疫情蔓延！@人民日报转发理由:火神，病毒怕高温，特意取得名吧,IqZUKnv5x,,['#武汉蔡甸火神山医院#'],403,{'Community 8': 1},1
Ir6keckJV,4602edfc64c84d10,1590439664,2020-01-25 12:04,2,0,0,俺家离火神山医院近在咫尺，分别在同济医院分院的左右。#武汉蔡甸火神山医院##中医##健康##全国确诊新型肺炎病例# 转发理由:武汉现在真实情况啥样？能说说吗,Ir6cd9XJT,,"['#武汉蔡甸火神山医院#', '#中医#', '#健康#', '#全国确诊新型肺炎病例#']",159,"{'Community 8': 3, 'Community 2': 1}",3
Ir6uRFJ9z,f94a3d87b27394c5,1590414604,2020-01-25 12:30,3,0,0,#多方驰援武汉#【卫健委#1230人医疗队驰援武汉# 转！盼平安！】国家卫生健康委派出重症医学专家加强对患者救治的临床指导，组建6支共1230人的医疗救治队驰援武汉，同时召集6支后备梯队随时待命。上海、广东、军队3支医疗队已到达武汉投入工作。 加强全国面上工作部署，修订印发病例诊疗、防控方案，完善“日报告、零报告”制度，织密织牢不明原因肺炎监测、发热门诊预检分诊“两张网”，各地已公布发热门诊和肺炎诊疗定点医疗机构名单。开展以加强市场环境卫生整治工作为主题的冬春季爱国卫生运动。完成对28个省的疫情防控工作督导，指导地方严格落实各项防控措施。#卫健委派1230人医疗队驰援武汉#转发理由:目前最大的问题还有隔离病房床位不够用，火神山医院加紧建成呀，加油,Ir6oRoIND,,"['#多方驰援武汉#', '#1230人医疗队驰援武汉#', '#卫健委派1230人医疗队驰援武汉#']",147,{'Community 8': 3},3
Ir6M4rjLi,bf53aafea4d15b7e,1590594682,2020-01-25 13:13,0,0,0,#多方驰援武汉#【卫健委#1230人医疗队驰援武汉# 转！盼平安！】国家卫生健康委派出重症医学专家加强对患者救治的临床指导，组建6支共1230人的医疗救治队驰援武汉，同时召集6支后备梯队随时待命。上海、广东、军队3支医疗队已到达武汉投入工作。 加强全国面上工作部署，修订印发病例诊疗、防控方案，完善“日报告、零报告”制度，织密织牢不明原因肺炎监测、发热门诊预检分诊“两张网”，各地已公布发热门诊和肺炎诊疗定点医疗机构名单。开展以加强市场环境卫生整治工作为主题的冬春季爱国卫生运动。完成对28个省的疫情防控工作督导，指导地方严格落实各项防控措施。#卫健委派1230人医疗队驰援武汉#转发理由:希望火神山医院建造顺利[加油]能有二期医院跟上,Ir6oRoIND,,"['#多方驰援武汉#', '#1230人医疗队驰援武汉#', '#卫健委派1230人医疗队驰援武汉#']",250,{'Community 8': 3},3
Ir7Cv8255,458958f3956f2300,1590696667,2020-01-25 15:22,0,0,0,#武汉我们一起加油# 【两位市民开车送来方便面，支持#武汉火神山医院#建设】1月25日，两位市民自发从汉阳开车到达武汉火神山医院建设项目部，送来几箱方便面。他们是一对夫妻，妻子曾经是一名护士，参加过抗击非典。（记者韩玮 制作张皓练 审看寇鹏）  长江日报的微博视频 #湖北加油武汉挺住# 转发理由:@楚天都市报 多发发这样的新闻,Ir7Av3H6J,,"['#武汉我们一起加油#', '#武汉火神山医院#', '#湖北加油武汉挺住#']",363,"{'Community 8': 1, 'Community 1': 1, 'Community 2': 1}",1
Ir8mLaDW7,15e6dace8245b6b3,1587960095,2020-01-25 17:16,0,0,0,#1230人医疗队驰援武汉##武汉加油# 疫情无情人有情！湖北人民武汉人民感谢你们！！大年初一，原小汤山非典医院院长急赴武汉帮助火神山医院建设！ 军中军魂的微博视频 转发理由:转发微博,Ir7Mk8yJf,,"['#1230人医疗队驰援武汉#', '#武汉加油#']",295,"{'Community 8': 1, 'Community 3': 1}",1
Ir8YrkFXE,a9ac81e06825d01e,1588004625,2020-01-25 18:49,0,0,0,#抗击疫情 央企行动# 【200人会战武汉“小汤山”供电工程！】目前，24台箱式变压器、20多公里电力电缆已就位，电力施工队伍200余人投入紧张施工，确保3天内完成供电施工工程，全力保障#武汉蔡甸火神山医院#用电。  电网头条的微博视频 转发理由:转发微博,Ir8I6mkOz,,['#武汉蔡甸火神山医院#'],406,{'Community 8': 1},1
Ir9nJuJex,596e2112b2c37913,1590765273,2020-01-25 19:51,0,0,0,#抗击疫情 央企行动# 【200人会战武汉“小汤山”供电工程！】目前，24台箱式变压器、20多公里电力电缆已就位，电力施工队伍200余人投入紧张施工，确保3天内完成供电施工工程，全力保障#武汉蔡甸火神山医院#用电。  电网头条的微博视频 转发理由://@英大网:转发微博,Ir8I6mkOz,,['#武汉蔡甸火神山医院#'],519,{'Community 8': 1},1
Ir9whjwNm,d60b53ee6133ac72,1590414396,2020-01-25 20:12,0,0,0,#抗击疫情 央企行动# 【200人会战武汉“小汤山”供电工程！】目前，24台箱式变压器、20多公里电力电缆已就位，电力施工队伍200余人投入紧张施工，确保3天内完成供电施工工程，全力保障#武汉蔡甸火神山医院#用电。  电网头条的微博视频 转发理由:转发微博,Ir8I6mkOz,,['#武汉蔡甸火神山医院#'],147,{'Community 8': 1},1
Ir9y7nX0e,3fefe3bcaef7acfd,1590215648,2020-01-25 20:17,0,0,0,#抗击疫情 央企行动# 【200人会战武汉“小汤山”供电工程！】目前，24台箱式变压器、20多公里电力电缆已就位，电力施工队伍200余人投入紧张施工，确保3天内完成供电施工工程，全力保障#武汉蔡甸火神山医院#用电。  电网头条的微博视频 转发理由:转发微博,Ir8I6mkOz,,['#武汉蔡甸火神山医院#'],76,{'Community 8': 1},1
Ir9Ok40oV,32954635239ac9ea,1590314861,2020-01-25 20:57,0,0,0,#抗击疫情 央企行动# 【连夜施工！#武汉蔡甸火神山医院# 4台环网柜安装、一条10千伏线路迁改工作完成】1月25日晚，武汉火神山灯火通明，电力设备连夜“上岗”。在武汉火神山医院施工现场，@国网武汉供电公司 蔡甸区供电公司严格按照市防疫应急指挥部的统一部署，争分夺秒地连夜完成了4台环网柜的安装任务以及一条10千伏线路的再次迁改工作。  http://t.cn/A6Pqel9q转发理由:转发微博,Ir9Fd3QUW,,['#武汉蔡甸火神山医院#'],110,{'Community 8': 1},1
Ir9OOtoAP,c44722bb601fb8ae,1590152857,2020-01-25 20:58,0,0,0,#抗击疫情 央企行动# 【连夜施工！#武汉蔡甸火神山医院# 4台环网柜安装、一条10千伏线路迁改工作完成】1月25日晚，武汉火神山灯火通明，电力设备连夜“上岗”。在武汉火神山医院施工现场，@国网武汉供电公司 蔡甸区供电公司严格按照市防疫应急指挥部的统一部署，争分夺秒地连夜完成了4台环网柜的安装任务以及一条10千伏线路的再次迁改工作。  http://t.cn/A6Pqel9q转发理由:转发微博,Ir9Fd3QUW,,['#武汉蔡甸火神山医院#'],55,{'Community 8': 1},1
Ira7iFCZI,c9e8f1dfc4762f12,1587999195,2020-01-25 21:43,0,0,0,#抗击疫情 央企行动# 【200人会战武汉“小汤山”供电工程！】目前，24台箱式变压器、20多公里电力电缆已就位，电力施工队伍200余人投入紧张施工，确保3天内完成供电施工工程，全力保障#武汉蔡甸火神山医院#用电。  电网头条的微博视频 转发理由://@远坂时臣mitchell://@于帅洋是琢玉郎: //@中电老郝: 转发微博,Ir8I6mkOz,,['#武汉蔡甸火神山医院#'],387,{'Community 8': 1},1
IranVnuAb,bade46c052b41f71,1588013620,2020-01-25 22:24,0,0,0,#抗击疫情 央企行动# 【200人会战武汉“小汤山”供电工程！】目前，24台箱式变压器、20多公里电力电缆已就位，电力施工队伍200余人投入紧张施工，确保3天内完成供电施工工程，全力保障#武汉蔡甸火神山医院#用电。  电网头条的微博视频 转发理由://@于帅洋是琢玉郎://@中电老郝: 转发微博,Ir8I6mkOz,,['#武汉蔡甸火神山医院#'],469,{'Community 8': 1},1
IrarV330E,81be5a1684368795,1590530689,2020-01-25 22:34,0,0,0,#抗击疫情 央企行动# 【连夜施工！#武汉蔡甸火神山医院# 4台环网柜安装、一条10千伏线路迁改工作完成】1月25日晚，武汉火神山灯火通明，电力设备连夜“上岗”。在武汉火神山医院施工现场，@国网武汉供电公司 蔡甸区供电公司严格按照市防疫应急指挥部的统一部署，争分夺秒地连夜完成了4台环网柜的安装任务以及一条10千伏线路的再次迁改工作。  http://t.cn/A6Pqel9q转发理由:灾难面前，国网在行动~加油，请施工人员注意防护，保障安全,Ir9Fd3QUW,,['#武汉蔡甸火神山医院#'],206,{'Community 8': 1},1
IrayV775U,cbcf7a662c22e736,1590876232,2020-01-25 22:51,0,0,0,#抗击疫情 央企行动# 【连夜施工！#武汉蔡甸火神山医院# 4台环网柜安装、一条10千伏线路迁改工作完成】1月25日晚，武汉火神山灯火通明，电力设备连夜“上岗”。在武汉火神山医院施工现场，@国网武汉供电公司 蔡甸区供电公司严格按照市防疫应急指挥部的统一部署，争分夺秒地连夜完成了4台环网柜的安装任务以及一条10千伏线路的再次迁改工作。  http://t.cn/A6Pqel9q转发理由://@国家电网报:关键时候，就得基建狂魔的中国速度！,Ir9Fd3QUW,,['#武汉蔡甸火神山医院#'],1608,{'Community 8': 1},1
IraVBiYre,8c9886837e9775ff,1588013177,2020-01-25 23:47,0,0,0,#抗击疫情 央企行动# 【不回家，是为了未来更好的团圆[心]】今晚有很多电力人连夜奋战在#武汉蔡甸火神山医院# 供电工程建设现场。不眠不休，和时间赛跑！能成为你们的战友，我骄傲！你们为了武汉为了疫情在拼命的同事，请一定也照顾好自己！@电网头条 @国网武汉供电公司 电网头条的微博视频 转发理由:转发微博,IraRde6oj,,['#武汉蔡甸火神山医院#'],465,{'Community 8': 1},1
IraW6kDTQ,348d614e4f1d9e0c,1587671864,2020-01-25 23:49,0,0,0,#抗击疫情 央企行动# 【不回家，是为了未来更好的团圆[心]】今晚有很多电力人连夜奋战在#武汉蔡甸火神山医院# 供电工程建设现场。不眠不休，和时间赛跑！能成为你们的战友，我骄傲！你们为了武汉为了疫情在拼命的同事，请一定也照顾好自己！@电网头条 @国网武汉供电公司 电网头条的微博视频 转发理由:转发微博,IraRde6oj,,['#武汉蔡甸火神山医院#'],78,{'Community 8': 1},1
IraWMi0kb,1c1400641de1e4a3,1590789561,2020-01-25 23:50,1,0,0,#抗击疫情 央企行动# 【不回家，是为了未来更好的团圆[心]】今晚有很多电力人连夜奋战在#武汉蔡甸火神山医院# 供电工程建设现场。不眠不休，和时间赛跑！能成为你们的战友，我骄傲！你们为了武汉为了疫情在拼命的同事，请一定也照顾好自己！@电网头条 @国网武汉供电公司 电网头条的微博视频 转发理由:转发微博,IraRde6oj,,['#武汉蔡甸火神山医院#'],617,{'Community 8': 1},1
Irbb7qKul,5270250f9b7f0c56,1590144293,2020-01-26 00:25,0,0,0,#抗击疫情 央企行动# 【不回家，是为了未来更好的团圆[心]】今晚有很多电力人连夜奋战在#武汉蔡甸火神山医院# 供电工程建设现场。不眠不休，和时间赛跑！能成为你们的战友，我骄傲！你们为了武汉为了疫情在拼命的同事，请一定也照顾好自己！@电网头条 @国网武汉供电公司 电网头条的微博视频 转发理由:转发微博,IraRde6oj,,['#武汉蔡甸火神山医院#'],51,{'Community 8': 1},1
Irbd14Yg2,b1656becbb76a09b,1590212157,2020-01-26 00:30,0,0,0,#钟南山说动才动#  有这三座大山:火神山、雷神山、钟南山，我想疫情一定可以控制住了 ；我们能做的就是保护好自己，在家闷得慌了，就去客厅、阳台散散心；或者和对面楼里的小哥哥喊话，一起聊聊天；绝不争微信运动前十名，我可以名正言顺的做一个健康的小胖[加油] 转发理由:转发微博,Irbbut4qC,,['#钟南山说动才动#'],75,{'Community 8': 1},1
Irbez6xZI,36e33daca5479e4e,1590352471,2020-01-26 00:34,0,0,0,#钟南山说动才动#  有这三座大山:火神山、雷神山、钟南山，我想疫情一定可以控制住了 ；我们能做的就是保护好自己，在家闷得慌了，就去客厅、阳台散散心；或者和对面楼里的小哥哥喊话，一起聊聊天；绝不争微信运动前十名，我可以名正言顺的做一个健康的小胖[加油] 转发理由:转发微博,Irbbut4qC,,['#钟南山说动才动#'],123,{'Community 8': 1},1
